name,param: num_tokens,param: hidden_dim,param: inter_dim,param: num_experts,param: topk,param: gated,param: input_dtype,param: weight_dtype,param: output_dtype,GFLOPS_first,Data Moved (MB)_first,FLOPS/Byte_first,TB/s_mean,TB/s_median,TB/s_std,TB/s_min,TB/s_max,TFLOPS/s_mean,TFLOPS/s_median,TFLOPS/s_std,TFLOPS/s_min,TFLOPS/s_max,process_name_first,process_label_first,thread_name_first,Compute Spec,Roofline Time (µs)_first,Roofline Bound_first,Pct Roofline_mean,Pct Roofline_median,Pct Roofline_std,Pct Roofline_min,Pct Roofline_max,kernel_details__summarize_kernel_stats,trunc_kernel_details,Input Dims_first,Input type_first,Input Strides_first,Concrete Inputs_first,Kernel Time (µs)_mean,Kernel Time (µs)_median,Kernel Time (µs)_std,Kernel Time (µs)_min,Kernel Time (µs)_max,Kernel Time (µs)_sum,name_count,UID_first
aiter::fmoe_fp8_blockscale_g1u1,8192,6144,256,256,8,True,c10::Float8_e4m3fnuz,c10::Float8_e4m3fnuz,c10::BFloat16,619.230265344,1296.0,455.6666666666667,0.7189049004472462,0.7189972704213503,0.06288783178072192,0.5573478549902474,0.8960982895801815,327.5809996371285,327.62308955532865,28.65588868141562,253.96483925722274,408.3221206187027,Unknown,Unknown,Unknown,matrix_fp8,486.4338298067557,COMPUTE_BOUND,25.732992901581184,25.736299258077658,2.25105174245213,19.950105204809326,32.07557899597035,"[{'name': 'aiter::fmoe_bf16_blockscaleFp8_g1u1_vs_silu_1tg_ps_32x256', 'stream': 4, 'count': 300, 'total_duration_us': np.float64(571558.865), 'mean_duration_us': np.float64(1905.1962166666667), 'median_duration_us': np.float64(1890.069), 'std_dev_duration_us': np.float64(171.57042730893258), 'min_duration_us': np.float64(1516.524), 'max_duration_us': np.float64(2438.252)}]","[{'name': 'aiter::fmoe_bf16_blockscaleFp8_g1u1_vs_silu_1tg_ps_32x256', 'stream': 4, 'mean_duration_us': np.float64(1905.2)}]","[[8192, 6144], [8192, 6144], [256, 512, 6144], [256, 6144, 256], [73720], [73720], [2304], [2], [], [8192, 48], [256, 4, 48], [256, 48, 2], [], [], [], [], [], []]","['c10::BFloat16', 'c10::Float8_e4m3fnuz', 'c10::Float8_e4m3fnuz', 'c10::Float8_e4m3fnuz', 'int', 'float', 'int', 'int', 'Scalar', 'float', 'float', 'float', '', 'Scalar', 'Scalar', '', 'Scalar', 'Scalar']","[[6144, 1], [6144, 1], [3145728, 6144, 1], [1572864, 256, 1], [1], [1], [1], [1], [], [48, 1], [192, 48, 1], [96, 2, 1], [], [], [], [], [], []]","['', '', '', '', '', '', '', '', '8', '', '', '', '', '128', '128', '', '0', '32']",1905.1962239583333,1890.069091796875,171.85709974474625,1516.52392578125,2438.251953125,571558.8671875,300,5537573
aiter::fmoe_fp8_blockscale_g1u1,128,6144,256,256,8,True,c10::Float8_e4m3fnuz,c10::Float8_e4m3fnuz,c10::BFloat16,9.675472896,1134.4551568464178,8.133640139333583,4.271553681473467,4.27284014051539,0.11936624164471711,3.927752598054937,4.6180487290481125,34.74328048095073,34.75374407585173,0.9708820543228693,31.94692618891141,37.56154650798417,Unknown,Unknown,Unknown,matrix_fp8,224.44574538592255,MEMORY_BOUND,80.59535248063145,80.61962529274322,2.2521932385795767,74.10853958594222,87.13299488770025,"[{'name': 'aiter::fmoe_bf16_blockscaleFp8_g1u1_vs_silu_1tg_ps_32x256', 'stream': 4, 'count': 2025, 'total_duration_us': np.float64(564373.836), 'mean_duration_us': np.float64(278.7031288888889), 'median_duration_us': np.float64(278.401), 'std_dev_duration_us': np.float64(7.823078027911716), 'min_duration_us': np.float64(257.59), 'max_duration_us': np.float64(302.861)}]","[{'name': 'aiter::fmoe_bf16_blockscaleFp8_g1u1_vs_silu_1tg_ps_32x256', 'stream': 4, 'mean_duration_us': np.float64(278.7)}]","[[128, 6144], [128, 6144], [256, 512, 6144], [256, 6144, 256], [9208], [9208], [288], [2], [], [128, 48], [256, 4, 48], [256, 48, 2], [], [], [], [], [], []]","['c10::BFloat16', 'c10::Float8_e4m3fnuz', 'c10::Float8_e4m3fnuz', 'c10::Float8_e4m3fnuz', 'int', 'float', 'int', 'int', 'Scalar', 'float', 'float', 'float', '', 'Scalar', 'Scalar', '', 'Scalar', 'Scalar']","[[6144, 1], [6144, 1], [3145728, 6144, 1], [1572864, 256, 1], [1], [1], [1], [1], [], [48, 1], [192, 48, 1], [96, 2, 1], [], [], [], [], [], []]","['', '', '', '', '', '', '', '', '8', '', '', '', '', '128', '128', '', '0', '32']",278.7031305459105,278.40087890625,7.8250076132449,257.58984375,302.86083984375,564373.8393554688,2025,8020978
aiter::fmoe_fp8_blockscale_g1u1,4096,6144,256,256,8,True,c10::Float8_e4m3fnuz,c10::Float8_e4m3fnuz,c10::BFloat16,309.615132672,1224.0,241.23529411764707,1.1623525740696548,1.1588649008577343,0.08226470883243557,0.998372831837083,1.3971137264526867,280.4004650740973,279.5591152010335,19.845151230695247,240.84276372728695,337.03314071661583,Unknown,Unknown,Unknown,matrix_fp8,243.21691490337784,COMPUTE_BOUND,22.026745096158468,21.96065319725321,1.5589278264489554,18.919305870171797,26.475502020158352,"[{'name': 'aiter::fmoe_bf16_blockscaleFp8_g1u1_vs_silu_1tg_ps_32x256', 'stream': 4, 'count': 75, 'total_duration_us': np.float64(83218.14899999999), 'mean_duration_us': np.float64(1109.57532), 'median_duration_us': np.float64(1107.512), 'std_dev_duration_us': np.float64(76.94059233290058), 'min_duration_us': np.float64(918.649), 'max_duration_us': np.float64(1285.549)}]","[{'name': 'aiter::fmoe_bf16_blockscaleFp8_g1u1_vs_silu_1tg_ps_32x256', 'stream': 4, 'mean_duration_us': np.float64(1109.58)}]","[[4096, 6144], [4096, 6144], [256, 512, 6144], [256, 6144, 256], [40952], [40952], [1280], [2], [], [4096, 48], [256, 4, 48], [256, 48, 2], [], [], [], [], [], []]","['c10::BFloat16', 'c10::Float8_e4m3fnuz', 'c10::Float8_e4m3fnuz', 'c10::Float8_e4m3fnuz', 'int', 'float', 'int', 'int', 'Scalar', 'float', 'float', 'float', '', 'Scalar', 'Scalar', '', 'Scalar', 'Scalar']","[[6144, 1], [6144, 1], [3145728, 6144, 1], [1572864, 256, 1], [1], [1], [1], [1], [], [48, 1], [192, 48, 1], [96, 2, 1], [], [], [], [], [], []]","['', '', '', '', '', '', '', '', '8', '', '', '', '', '128', '128', '', '0', '32']",1109.5753255208333,1107.51220703125,77.45872756779461,918.64892578125,1285.548828125,83218.1494140625,75,4963099
