op category,Count,total_direct_kernel_time_ms,Percentage (%),Cumulative Percentage (%)
other,21281,7438.189910644532,74.27383687898828,74.27383687898828
MoE_fused,2400,1219.1508559570314,12.173796702427174,86.44763358141545
GEMM,19904,737.4405556640625,7.363691999979725,93.81132558139517
triton,17652,183.87325341796875,1.8360612185003604,95.64738679989553
elementwise,12496,164.01233544921874,1.6377405787749784,97.28512737867051
RMSNorm,8144,104.7553837890625,1.0460319487957845,98.3311593274663
GroupQuant,10036,91.58155419921874,0.9144850426557046,99.245644370122
MoE_aux,4800,57.52663330078125,0.5744305844981259,99.82007495462013
InferenceAttention,2496,17.71913330078125,0.1769339089522166,99.99700886357235
reduce,54,0.299548828125,0.0029911364276420395,99.99999999999999
