idx,output_path,event_count,num_gpu_events,gpu_duration,gpu_busy_duration,phase_num_prefill,phase_num_prefilldecode,phase_num_decode,phase_avg_bs,phase_avg_conc,num_steps
0,/shared_inference/mdeopuja/Hyperloom/optimizer_runs/phaseC2/verify_ws/kernel-agent/runs/verifyfix/20260811T203914Z_tl-91ac4b16/tracelens/trace_split/mixed_steady_state_prefill_0_prefilldecode_3_decode_29_bs1257_conc124_dp0_pp0_tp0_dcp0_ep0_rank0.1786443329043716575.json.gz,8013134,122836,10587885.27,10563297.92,0,3,29,1257,124,32
0,/shared_inference/mdeopuja/Hyperloom/optimizer_runs/phaseC2/verify_ws/kernel-agent/runs/verifyfix/20260811T203914Z_tl-91ac4b16/tracelens/trace_split/decode_only_steady_state_prefill_0_prefilldecode_0_decode_32_bs126_conc126_dp0_pp0_tp0_dcp0_ep0_rank0.1786443329043716575.json.gz,5880832,115040,6933385.00,6906507.23,0,0,32,126,126,32
0,/shared_inference/mdeopuja/Hyperloom/optimizer_runs/phaseC2/verify_ws/kernel-agent/runs/verifyfix/20260811T203914Z_tl-91ac4b16/tracelens/trace_split/prefilldecode_steady_state_prefill_0_prefilldecode_32_decode_0_bs8192_conc123_dp0_pp0_tp0_dcp0_ep0_rank0.1786443329043716575.json.gz,20210527,169516,30740322.36,30734141.29,0,32,0,8192,123,32
